time,year,month,lat,lon,lw_down,sw_down,t,wind,q,pstar,Rainf_GPCC,precip,date_time_utc,date_time_local,cosz,diff_rad
885600,2003,1,-22.698538,-47.642881,429.9202,0,294.4892289,0.442815743,0.01770853,93948.67203,0.000155329,0,01/11/2003 6:00,01/11/2003 3:00,0,0
896400,2003,1,-22.698538,-47.642881,425.55124,0.131238024,294.2591106,0.37915191,0.017460151,94017.69141,0.000237547,0,01/11/2003 9:00,01/11/2003 6:00,0.104623291,0.131238024
907200,2003,1,-22.698538,-47.642881,431.34424,153.4494772,297.2252826,0.685037657,0.019833372,94208.6504,0.000101178,0,01/11/2003 12:00,01/11/2003 9:00,0.720696198,153.4494772
918000,2003,1,-22.698538,-47.642881,449.95996,532.8673238,299.8963319,1.164118935,0.021980287,94211.99072,9.69E-05,0,01/11/2003 15:00,01/11/2003 12:00,0.998998567,467.9084677
928800,2003,1,-22.698538,-47.642881,457.63586,736.7141558,302.5428468,0.758540756,0.024369228,94031.85199,0.00026626,0,01/11/2003 18:00,01/11/2003 15:00,0.776504644,440.1646436
939600,2003,1,-22.698538,-47.642881,434.31326,320.3994789,299.4904693,0.663128293,0.02296021,94049.11031,0.000191552,0,01/11/2003 21:00,01/11/2003 18:00,0.183548353,123.2382402
950400,2003,1,-22.698538,-47.642881,437.2519,1.414022637,296.9209608,0.791372936,0.020176132,94228.84542,0.000286193,0,01/12/2003 0:00,01/11/2003 21:00,0,1.414022637
961200,2003,1,-22.698538,-47.642881,421.93448,0,294.9840534,2.1308514,0.018370166,94271.13756,9.72E-05,0,01/12/2003 3:00,01/12/2003 0:00,0,0
972000,2003,1,-22.698538,-47.642881,413.4338,0,293.722985,2.099853783,0.016833387,94132.32164,4.09E-05,0,01/12/2003 6:00,01/12/2003 3:00,0,0
982800,2003,1,-22.698538,-47.642881,416.72134,0.135259152,293.0995496,1.695260718,0.015975344,94217.19426,7.60E-05,0,01/12/2003 9:00,01/12/2003 6:00,0.103670624,0.135259152
993600,2003,1,-22.698538,-47.642881,415.311,125.4712117,296.0407346,2.312380194,0.017502739,94374.96901,0.000118098,0,01/12/2003 12:00,01/12/2003 9:00,0.720373193,123.6026636
1004400,2003,1,-22.698538,-47.642881,442.77744,418.5101509,301.6091205,2.386825942,0.019988866,94342.00565,2.67E-05,0,01/12/2003 15:00,01/12/2003 12:00,0.998960004,295.7239844
1015200,2003,1,-22.698538,-47.642881,457.32715,440.3111407,303.4872244,2.992902794,0.020525239,94152.37358,0,0,01/12/2003 18:00,01/12/2003 15:00,0.77623868,213.1878575
1026000,2003,1,-22.698538,-47.642881,448.9661,186.3005547,301.1469604,2.761216535,0.019488497,94070.37547,0,0,01/12/2003 21:00,01/12/2003 18:00,0.182676352,71.96449219
1036800,2003,1,-22.698538,-47.642881,395.6672,6.151509646,295.9093721,2.500708633,0.016311055,94279.62283,0,0,01/13/2003 0:00,01/12/2003 21:00,0,6.151509646
1047600,2003,1,-22.698538,-47.642881,377.03094,0,292.3166018,1.691977005,0.014586955,94329.70576,0,0,01/13/2003 3:00,01/13/2003 0:00,0,0
1058400,2003,1,-22.698538,-47.642881,375.2269,0,290.2455153,1.339890024,0.01335206,94165.09734,0,0,01/13/2003 6:00,01/13/2003 3:00,0,0
1069200,2003,1,-22.698538,-47.642881,392.02914,0.238610205,289.1481306,1.137468417,0.012566779,94239.43823,0,0,01/13/2003 9:00,01/13/2003 6:00,0.102675114,0.238610205
1080000,2003,1,-22.698538,-47.642881,399.5903,151.9084754,292.9276681,1.250952653,0.013824102,94382.72227,0,0,01/13/2003 12:00,01/13/2003 9:00,0.720030918,135.8849064
1090800,2003,1,-22.698538,-47.642881,416.73975,523.9700985,302.5716187,0.559454651,0.018073084,94313.26581,0,0,01/13/2003 15:00,01/13/2003 12:00,0.998912817,199.7291407
1101600,2003,1,-22.698538,-47.642881,442.22415,554.1733504,306.8359513,1.006783829,0.020873847,94028.82063,0,0,01/13/2003 18:00,01/13/2003 15:00,0.775955579,50.21050074
1112400,2003,1,-22.698538,-47.642881,445.08466,256.3860717,304.847529,1.492071627,0.02056448,93929.94417,0,0,01/13/2003 21:00,01/13/2003 18:00,0.181764528,99.35299735
1123200,2003,1,-22.698538,-47.642881,419.92706,4.036941902,297.7469852,1.889401794,0.016213201,94131.00578,0,0,01/14/2003 0:00,01/13/2003 21:00,0,4.036941902
1134000,2003,1,-22.698538,-47.642881,370.53284,0,293.2031795,2.020318615,0.014309337,94112.26903,0,0,01/14/2003 3:00,01/14/2003 0:00,0,0
1144800,2003,1,-22.698538,-47.642881,341.71338,0,289.3160328,1.694277179,0.012477879,93936.34789,0,0,01/14/2003 6:00,01/14/2003 3:00,0,0
1155600,2003,1,-22.698538,-47.642881,336.6719,0.893846948,288.0309368,1.275350858,0.011847087,93942.24508,0,0,01/14/2003 9:00,01/14/2003 6:00,0.101636971,0.893846948
1166400,2003,1,-22.698538,-47.642881,382.1692,296.2621135,296.4427797,0.933573823,0.016694069,94135.40032,0,0,01/14/2003 12:00,01/14/2003 9:00,0.719668829,241.1537331
1177200,2003,1,-22.698538,-47.642881,421.53488,817.6571883,304.9142358,0.628799574,0.020262688,94121.31867,0,0,01/14/2003 15:00,01/14/2003 12:00,0.998856127,297.1550019
1188000,2003,1,-22.698538,-47.642881,473.508,660.0415355,308.1699054,0.394276911,0.021319004,93913.75361,0,0,01/14/2003 18:00,01/14/2003 15:00,0.775654732,190.3689037
1198800,2003,1,-22.698538,-47.642881,467.22995,298.0744625,307.3598181,1.064940614,0.021768367,93777.18351,0,0,01/14/2003 21:00,01/14/2003 18:00,0.180812994,115.9409887
1209600,2003,1,-22.698538,-47.642881,413.84,9.53918935,299.6031119,1.700462427,0.017295943,93901.48189,0,0,01/15/2003 0:00,01/14/2003 21:00,0,9.53918935
1220400,2003,1,-22.698538,-47.642881,385.10742,0,295.8732328,1.065614943,0.014605683,93858.45783,0,0,01/15/2003 3:00,01/15/2003 0:00,0,0
1231200,2003,1,-22.698538,-47.642881,360.96204,0,292.80085,0.765069043,0.012916977,93687.81426,0,0,01/15/2003 6:00,01/15/2003 3:00,0,0
1242000,2003,1,-22.698538,-47.642881,349.09366,0.895808085,291.2138228,0.591191034,0.012046304,93800.23053,0,0,01/15/2003 9:00,01/15/2003 6:00,0.100556416,0.895808085
1252800,2003,1,-22.698538,-47.642881,403.61856,392.798612,302.0234123,0.946629779,0.019002054,94093.31653,0,0,01/15/2003 12:00,01/15/2003 9:00,0.719286371,325.6386565
1263600,2003,1,-22.698538,-47.642881,446.38065,835.2770291,306.0295825,1.679171446,0.021993383,93966.75622,4.32E-05,0,01/15/2003 15:00,01/15/2003 12:00,0.998789025,524.8175752
1274400,2003,1,-22.698538,-47.642881,462.74146,764.0003995,305.234873,1.337860629,0.023824867,93755.42118,1.95E-05,0,01/15/2003 18:00,01/15/2003 15:00,0.775335513,375.0449639
1285200,2003,1,-22.698538,-47.642881,447.248,421.9893989,302.9887419,0.958909725,0.023931978,93691.05685,0,0,01/15/2003 21:00,01/15/2003 18:00,0.179821872,164.8227858
1296000,2003,1,-22.698538,-47.642881,420.3751,12.57609414,299.9954847,0.671553402,0.02230144,93946.9466,0,0,01/16/2003 0:00,01/15/2003 21:00,0,12.57609414
1306800,2003,1,-22.698538,-47.642881,417.69086,0,302.3104849,0.857834262,0.023139003,93861.75972,0,0,01/16/2003 3:00,01/16/2003 0:00,0,0
1317600,2003,1,-22.698538,-47.642881,421.27588,0,299.9576439,0.826781168,0.021031233,93748.81077,0,0,01/16/2003 6:00,01/16/2003 3:00,0,0
1328400,2003,1,-22.698538,-47.642881,425.7424,0.777952245,298.0023228,0.649748079,0.019066301,93778.8185,0,0,01/16/2003 9:00,01/16/2003 6:00,0.099433681,0.777952245
1339200,2003,1,-22.698538,-47.642881,442.01846,318.8530955,300.0065642,0.75882198,0.020644806,93949.34274,0.000226594,0.000593201,01/16/2003 12:00,01/16/2003 9:00,0.718882972,318.8530955
1350000,2003,1,-22.698538,-47.642881,463.1441,898.2825351,301.8891992,1.085905882,0.02219882,93873.23502,0.000285997,0.000748709,01/16/2003 15:00,01/16/2003 12:00,0.998710575,839.5217858
1360800,2003,1,-22.698538,-47.642881,457.12744,839.8095793,301.2285141,0.887502963,0.022296136,93753.95353,0.000318005,0.000832507,01/16/2003 18:00,01/16/2003 15:00,0.774997276,736.2201496
1371600,2003,1,-22.698538,-47.642881,433.01492,212.2981583,297.5281324,1.490450616,0.018489048,93725.03518,0.000152661,0.000399654,01/16/2003 21:00,01/16/2003 18:00,0.178791291,169.5635041
1382400,2003,1,-22.698538,-47.642881,427.1101,1.895063801,295.4371385,2.08295505,0.015764335,93949.04455,0.000501508,0.0013129,01/17/2003 0:00,01/16/2003 21:00,0,1.895063801
